id,mark_x,mark_com,jiaoyiduifang,price,method,mark_y,_merge
19333597,36.15%股权,武船重工,中国信达、中国东方、国风投基金、结构调整基金、中国人寿、华宝投资、招商平安、国华基金,,资产基础法,,left_only
19330558,60%股权,成都信通网易医疗科技发展有限公司,易刚晓,187386000.0,收益法,,left_only
19330558,90%股权,绥芬河市盛泰经贸有限公司,刘志峰,23805000.0,收益法,,left_only
19316032,23.58%股权,广船国际,中原资产、新华保险、结构调整基金、太保财险、中国人寿、人保财险、工银投资、东富天恒,2400000000.0,资产基础法,,left_only
19316032,30.98%股权,黄埔文冲,华融瑞通、新华保险、结构调整基金、太保财险、中国人寿、人保财险、工银投资、东富天恒,2400000000.0,资产基础法,,left_only
19274799,100%股权,常州市金牛研磨有限公司,杨建华、巢琴仙、叶现军、徐子根、杨华、李卫东、朴海连、钱建伟、陆博伟、朱红娟,1200000000.0,,,left_only
19235303,64.98%股权,三诺健康,建投嘉孚(上海)投资有限公司、长城国融投资管理有限公司、建投华文投资有限责任公司,,,,left_only
18892337,100%股权,丰联酒业控股集团有限公司,佳沃集团有限公司、西藏君和聚力投资合伙企业(有限合伙)、汤捷、方焰、谭小林,1399000000.0,收益法,,left_only
18877252,100%股权,中盐吉兰泰氯碱化工有限公司,中盐吉兰泰盐化集团有限公司,2500708500.0,,,left_only
18877252,100%股权,中盐吉兰泰高分子材料有限公司,中盐吉兰泰盐化集团有限公司,150147900.0,,,left_only
18877252,纯碱业务经营性资产和负债,吉兰泰集团,中盐吉兰泰盐化集团有限公司,259884300.0,,,left_only
18876458,20%股权,科翼传播,陆慧斐、邓翀,,,,left_only
18876458,100%的股权,观达影视,青春旋风、骅伟投资、芒果投资、鹿捷咨询,,,,left_only
18872487,除全资子公司北京湘鄂情投资所持有的团膳业务之外的其他资产及负债,中科云网科技集团股份有限公司,克州湘鄂情、北京盈聚,532513600.0,,,left_only
18856505,金属制品业务相关的资产和负债,宁夏新日恒力钢丝绳股份有限公司,中能恒力,1009319300.0,,,left_only
18855972,有机分厂、丁二分厂和配套职能部门相关的主要资产、负债,山西三维集团股份有限公司,山西三维华邦集团有限公司,417985000.0,,,left_only
18810965,100.00%股权,赞融电子,孙志民、侯卫民,840000000.0,收益法,,left_only
18303943,100%股权,中盐吉兰泰氯碱化工有限公司,中盐吉兰泰盐化集团有限公司,,收益法,,left_only
18303943,100%股权,中盐吉兰泰高分子材料有限公司,中盐吉兰泰盐化集团有限公司,,收益法,,left_only
18303943,纯碱业务经营性资产和负债,吉兰泰集团,中盐吉兰泰盐化集团有限公司,,收益法,,left_only
18285886,有机分厂、丁二分厂和配套职能部门相关的主要资产、负债,山西三维,三维华邦,,资产基础法,,left_only
18275273,100%股权,普瑞特高压,国网电科院,,收益法,,left_only
18275273,100%股权,设计公司,国网电科院,,收益法,,left_only
18275273,江宁基地及浦口房产土地,国网电科院,国网电科院,,收益法,,left_only
18275273,87%股权,继保电气,沈国荣、南瑞集团,,收益法,,left_only
18275273,主要经营性资产及负债,南瑞集团,南瑞集团,,收益法,,left_only
18275273,100%股权,信通公司,南瑞集团,,收益法,,left_only
18275273,100%股权,普瑞工程,南瑞集团,,收益法,,left_only
18275273,100%股权,普瑞科技,南瑞集团,,收益法,,left_only
18275273,100%股权,北京南瑞,南瑞集团,,收益法,,left_only
18275273,100%股权,上海南瑞,南瑞集团,,收益法,,left_only
18275273,90%股权,印尼公司,南瑞集团,,收益法,,left_only
18275273,99%股权,巴西公司,南瑞集团,,收益法,,left_only
18275273,60%股权,瑞中数据,南瑞集团,,收益法,,left_only
18275273,100%股权,云南南瑞,云南能投、南瑞集团,,收益法,,left_only
16865785,100%股权,丰联酒业,佳沃集团、君和聚力、汤捷、方焰、谭小林,1399000000.0,收益法,,left_only
16830722,100%股权,苏盐连锁,苏盐集团,2224640200.0,资产基础法,,left_only
16830722,51%股权,南通盐业,苏盐集团,,资产基础法,,left_only
16762757,84.44%股权,我爱我家,刘田、张晓晋、李彬、茂林泰洁、新中吉文、达孜时潮、陆斌斌、徐斌、东银玉衡、伟业策略、瑞德投资、要嘉佳、赵铁路、西藏利禾、太合达利、执一爱佳,5531460100.0,收益法,,left_only
16703525,100%股权,信诺时代,谢敏、朱志斌、吴健彪、朱恒新、北京晟盈天弘投资中心(有限合伙)、张明宇、南翔,218000000.0,收益法,,left_only
16703525,49%股权,仪电鑫森,上海佳育,240100000.0,收益法,,left_only
16685321,"251,000.00万元商业承兑汇票",八一钢铁,宝钢集团新疆八一钢铁有限公司,2510000000.0,,,left_only
16685321,"炼铁系统、能源系统和厂内物流的整体资产、经营性负债与业务,以及制造管理部和采购中心的资产、经营性负债与业务",八钢公司,宝钢集团新疆八一钢铁有限公司,4345437400.0,资产基础法,,left_only
16660573,海珍品养殖、加工、销售业务相关资产及部分负债,大连壹桥海参股份有限公司,刘德群,1570848100.0,资产基础法,,left_only
16651570,100%股权,厦门天马,金财产业、中航国际、中航国际深圳、中航国际厦门,10452506800.0,资产基础法,,left_only
16651570,60%股权,天马有机发光,上海工投、张江集团,656900600.0,资产基础法,,left_only
16540696,100%股权,河南省许平南高速公路有限责任公司,河南投资集团,3796164300.0,收益法,,left_only
16540696,70.00%股权,豫龙同力,河南投资集团,,资产基础法,,left_only
16540696,60.00%股权,豫鹤同力,河南投资集团,,资产基础法,,left_only
16540696,73.15%股权,黄河同力,河南投资集团,,资产基础法,,left_only
16540696,100.00%股权,平原同力,河南投资集团,,资产基础法,,left_only
16540696,100.00%股权,腾跃同力,河南投资集团,,资产基础法,,left_only
16540696,100.00%股权,河南省同力,河南投资集团,,资产基础法,,left_only
16540696,100.00%股权,中非同力,河南投资集团,,资产基础法,,left_only
16540696,100.00%股权,濮阳建材,河南投资集团,,资产基础法,,left_only
16540696,62.96%股权,同力骨料,河南投资集团,,资产基础法,,left_only
16540696,“同力”系列商标权,同力水泥,河南投资集团,145920000.0,收益法,,left_only
16459499,100%股权,诚亿自动化,张天伟、李科、谢崇宁、丁剑平,600000000.0,收益法,,left_only
16459499,100%股权,新宇智能,齐秉春、吴海波、丁剑平、李红竞、刘文浩、金瑞投资、健和誉健,340000000.0,收益法,,left_only
16435177,100%的股权,三花汽零,三花绿能,2150000000.0,收益法,,left_only
16428959,100%股权,信诺时代,谢敏、朱志斌、吴健彪、朱恒新、北京晟盈天弘投资中心(有限合伙)、张明宇、南翔,218000000.0,收益法,,left_only
16428959,49%股权,仪电鑫森,上海佳育投资管理有限公司,240100000.0,收益法,,left_only
16423517,51%股权,霍煤鸿骏,蒙东能源,2383959700.0,收益法、资产基础法,,left_only
16423517,90%股权,通辽盛发,蒙东能源,440547000.0,收益法、资产基础法,,left_only
16406807,100%的股权,瑞丰印刷,袁伍妹、重庆金嘉兴,702000000.0,收益法,,left_only
16406721,汽车软饰及声学原件业务相关资产,B1( Auria SolutionsLimited),International Automotive Components Group S.A.,,,,left_only
16389809,100%股权,太行机械,凌云集团,,收益法,,left_only
16389809,100%股权,东方联星,电子院、兵科院、信息集团、中兵投资、兵器三院、张峻林、王瀚晟、张祖新、赵志勤、陈亮、潘荣、秦晓懿、刘宇飞,,收益法,,left_only
16357179,100%的股权,成都中德天翔投资有限公司,中泰创展(上海)投资合伙企业(有限合伙)、成都亲华科技有限公司、成都星润泰祥企业管理中心(有限合伙)、中讯建通(北京)控股有限公司、深圳市深商兴业创业投资基金合伙企业(有限合伙)、深圳市四海汇智创业投资企业(有限合伙),,,,left_only
16356977,70.00%股权,豫龙同力,河南投资集团,696000000.0,资产基础法,,left_only
16356977,60.00%股权,豫鹤同力,河南投资集团,121000000.0,资产基础法,,left_only
16356977,73.15%股权,黄河同力,河南投资集团,585000000.0,资产基础法,,left_only
16356977,100.00%股权,平原同力,河南投资集团,340000000.0,资产基础法,,left_only
16356977,100.00%股权,腾跃同力,河南投资集团,150000000.0,资产基础法,,left_only
16356977,100.00%股权,河南省同力,河南投资集团,422000000.0,资产基础法,,left_only
16356977,100.00%股权,中非同力,河南投资集团,53000000.0,资产基础法,,left_only
16356977,100.00%股权,濮阳建材,河南投资集团,28000000.0,资产基础法,,left_only
16356977,62.96%股权,同力骨料,河南投资集团,31000000.0,资产基础法,,left_only
16356977,100%股权,许平南,河南投资集团,3786000000.0,收益法,,left_only
16353954,52.3787%的股权,天津松正,孔昭松、王敏、万向钱潮、温氏投资、新兴齐创,691398840.0,收益法,,left_only
16350037,100%股权,苏州科环,唐新亮、宽客投资、沁朴投资、骏琪投资、鼎泰投资、文建红、张建强、江苏中茂,682000000.0,,,left_only
16349063,100%股权,ADAMA,中国化工农化总公司,18471006998.16,收益法,,left_only
16346240,100%的股权,中德天翔,中泰创展、亲华科技、星润泰祥、中讯建通、深商兴业、四海汇智,1700000000.0,收益法、市场法,,left_only
16344439,25%股权,惠联热电,锡联国际,,,,left_only
16344439,25%股权,友联热电,锡洲国际,,,,left_only
16344439,全部资产及负债,国联环保,国联集团,,,,left_only
16342902,100%股权,云克科技,云克投资、厉群南,1005000000.0,资产基础法,,left_only
16336397,100%股权,南京江原安迪科正电子研究发展有限公司,由守谊、耿书瀛、罗志刚、李毅志、李泽超、戴文慧、钱伟佳、南京世嘉融企业管理合伙企业(有限合伙)、南京玲华企业管理合伙企业(有限合伙)、南京诚正企业管理合伙企业(有限合伙)、南京壹维企业管理合伙企业(,1600000000.0,收益法,,left_only
16334062,100%股权,瑞丰印刷,袁伍妹、重庆金嘉兴,702000000.0,收益法,,left_only
16331943,100%股权,长城电子,中国船舶重工集团公司,,收益法,,left_only
16331943,全部资产及负债,中电广通,中国电子信息产业集团有限公司,,资产基础法,,left_only
16319641,75%股权,吉林天池钼业有限公司,吉林天成矿业有限公司,953474500.0,资产基础法,,left_only
16319641,"34,200万元债权",吉林天池钼业有限公司,吉林天成矿业有限公司,342000000.0,资产基础法,,left_only
16310680,100%股权,拇指游玩,天津大拇指、骅威文化、曾飞、曾澍、程霄,1090000000.0,收益法,,left_only
16310680,100%股权,虹软协创,舟山虹软、广州维动、深圳国金,625000000.0,收益法,,left_only
16309960,99.854%股权,辽宁邮电,陈志生、姜日敏、于勇、陈曦、陈立人、卞晓光、张旭阳、祖健、包恩杰、周巍、丁向鸿、罗宝康、唐文志、刘慧、辛广军、苏金友、葛志全、高亮、张立武、王建国、王奎勇、孙智鹏、葛振林、王耀明、贾红雷、边庆跃、付强、杜占东、付天飞、刘霞、程国辉、王吉、毕健有、辛亚锋、张升伟、刘英男、陈兴宏、齐智刚、鸿讯飞龙、鸿信飞龙、网讯飞龙、网信飞龙、天泽吉富、善长资产、北京泓石、中金国联、王卿泳,1788265300.0,收益法,,left_only
16271391,100%股权,太行机械,凌云集团,566606800.0,资产基础法,,left_only
16271391,100%股权,东方联星,电子院、兵科院、信息集团、中兵投资、兵器三院、张峻林、王瀚晟、张祖新、赵志勤、陈亮、潘荣、秦晓懿、刘宇飞,735171900.0,收益法,,left_only
16259992,100%股权,信诺时代,谢敏、朱志斌、吴健彪、朱恒新、北京晟盈天弘投资中心(有限合伙)、张明宇、南翔,218000000.0,收益法,,left_only
16259992,49%股权,仪电鑫森,上海佳育投资管理有限公司,240100000.0,收益法,,left_only
16256197,94.00%股权,我爱我家,刘田、林洁、张晓晋、李彬、茂林泰洁、新中吉文、达孜时潮、陆斌斌、徐斌、东银玉衡、伟业策略、瑞德投资、要嘉佳、赵铁路、西藏利禾、太合达利、执一爱佳,6182000200.0,收益法,,left_only
16254339,60%股权,无锡红豆置业有限公司,红豆集团,,,,left_only
16237503,100%股权,金牛研磨,杨建华、巢琴仙、叶现军、徐子根、杨华、李卫东、朴海连、钱建伟、陆博伟、朱红娟,1200000000.0,收益法,,left_only
16233518,与军品电机业务相关的经营性资产,林泉电机,林泉电机,374521700.0,,,left_only
16233518,100%股权,航天电机,林泉电机、深圳科工,106700000.0,,,left_only
16233518,51%股权,斯玛尔特,林泉电机,43707000.0,,,left_only
16233518,68%股份,运控电子,许国大、協控投资、周荣方、徐涛、许京、姚国华、梅红玉,725528700.0,,,left_only
16213639,100%股权,中星集团,地产集团,17472146700.0,资产基础法,,left_only
16182745,26%股权,华鑫置业(集团)有限公司,飞乐音响、上海贝岭,,,,left_only
16182745,66%股权,华鑫置业(集团)有限公司,仪电集团,,,,left_only
16153951,95.306%股权,国地置业,大地集团、成都泰维,2901945962.93,收益法、资产基础法,,left_only
16085320,100%股权,中德天翔,中泰创展、亲华科技、星润泰祥、中讯建通、深商兴业、四海汇智,1700000000.0,收益法,,left_only
16046776,100%股权,瑞丰印刷,袁伍妹、重庆金嘉兴,702000000.0,收益法,,left_only
16039334,97.15%股权,鹤壁同力,投资集团,1103560800.0,,,left_only
16039334,50.00%股权,鹤壁丰鹤,投资集团,762257100.0,,,left_only
16039334,12.00%股权,华能沁北,投资集团,656463600.0,,,left_only
16007931,100%股权,丰联酒业控股集团有限公司,佳沃集团有限公司、西藏君和聚力投资合伙企业(有限合伙)、汤捷、方焰、谭小林,1399000000.0,收益法,,left_only
15993448,55.13%股权,六捷科技,范莉娅、安志鵾、王义平,259120400.0,,,left_only
15992811,100.00%股权,蓝焰煤层气,晋煤集团,3072681700.0,,,left_only
15992811,除全部应付债券及部分其他流动资产、应交税费、应付利息外的全部资产和负债,煤气化股份,晋煤集团,856139600.0,,,left_only
15990796,100%股权,三花汽零,浙江三花绿能实业集团有限公司,2150000000.0,收益法,,left_only
15962417,100%股权,长城电子,中船重工集团,1064573100.0,收益法,,left_only
15962417,29.94%股权,赛思科,军民融合基金,106252700.0,资产基础法,,left_only
15962417,全部资产及负债,中电广通,中国电子,729316214.0,资产基础法,,left_only
15950053,100%股权,藏投酒店,静安区国资委,949608600.0,资产基础法,,left_only
15950053,14.99%股权,泉州置业,厦门达沃斯,165890100.0,资产基础法,,left_only
15950053,41.21%股权,陕西国锂,上海明捷、厦门西咸、厦门国锂、国能工业、东方国金、国能矿业,82949600.0,资产基础法,,left_only
15936442,90%股权,PTG,TP、HG,4641144100.0,收益法,,left_only
15936442,100%股权,桂林倍利,橡胶公司,669106800.0,资产基础法,,left_only
15936442,工业胎相关土地和房产,黄海集团,黄海集团,472718800.0,资产基础法,,left_only
15928515,100%股权,三花汽零,浙江三花绿能实业集团有限公司,2150000000.0,收益法,,left_only
15873240,100%股权,浙铁大风,浙江省铁路投资集团有限公司,967230000.0,,,left_only
15856193,60%股权,无锡红豆置业有限公司,红豆集团有限公司,819758340.0,资产基础法,,left_only
15833901,100%的股权,瑞丰印刷,袁伍妹、重庆金嘉兴,702000000.0,收益法,,left_only
15833628,80%的股权,贵州中泰,中国生物技术股份有限公司,360800000.0,市场法,,left_only
15833628,100%的股权,北生研,中国生物技术股份有限公司,1403000000.0,收益法,,left_only
15833628,51%的股权,长春祈健,中国生物技术股份有限公司,402900000.0,收益法,,left_only
15829347,51%股权,浙江沪乐,章华超、方顺金、薛洪柱、周元胜、胡爱夏、嘉兴六顺,117300000.0,,,left_only
15804264,100%股权,朗依制药,北京锦圣投资中心(有限合伙)、达孜星翼远达创业投资合伙企业(有限合伙),1880000000.0,,,left_only
15790205,100%股权,炎龙科技,鲁剑、李练、西藏炎龙,1600000000.0,收益法,,left_only
15771867,年产8万吨粘胶纤维、10万吨棉浆粕生产线全部有效经营性资产及配套设施(包括存货、固定资产、在建工程、无形资产等),阿拉尔新农化纤有限责任公司,,,成本法,,left_only
15741872,96.3158%股权,蓝瀚科技,平安大华、京东世纪、西藏东方、赵文权、许志平、陈良华、吴铁、孙陶然、齐玉杰,1852000000.0,,,left_only
15739338,94.00%股权,我爱我家,刘田、林洁、张晓晋、李彬、徐斌、陆斌斌、茂林泰洁、新中吉文、达孜时潮、赵铁路、要嘉佳、东银玉衡、伟业策略、瑞德投资、西藏利禾、太合达利、执一爱佳,6182000200.0,收益法,,left_only
15733125,100%股权,三木智能,三木投资、九番投资、张旭辉、诺球电子、云亚峰、杨海燕、黄国昊、张黎君、叶培峰、熊胜峰、黄日红、张建辉,,,,left_only
15729027,90%股权,龙华农牧,龙秋华、龙伟华,458600000.0,收益法,,left_only
15726608,100%股权,华菱节能,华菱集团,1306213800.0,资产基础法,,left_only
15726608,37.99%股权,财富证券,迪策投资,4143461800.0,市场法,,left_only
15726608,100%股权,财信投资,财信金控,8144336900.0,资产基础法,,left_only
15726608,3.51%股权,财富证券,深圳润泽,366143800.0,市场法,,left_only
15726608,除湘潭节能100%股权外的全部资产及负债,华菱钢铁,华菱集团、迪策投资,6092034100.0,资产基础法,,left_only
15702948,70%股权,连云港中茵,闻天下,121690600.0,资产基础法,,left_only
15702948,60%股权,昆山泰莱,闻天下,71145100.0,资产基础法,,left_only
15702948,100%股权,昆山酒店,闻天下,-81027700.0,资产基础法,,left_only
15702948,100%股权,中茵商管,闻天下,3716800.0,资产基础法,,left_only
15702948,100%股权,江苏中茵,闻天下,489575000.0,资产基础法,,left_only
15702948,100%股权,苏州皇冠,闻天下,89407300.0,资产基础法,,left_only
15702948,3.8%股权,徐州中茵,闻天下,46921900.0,资产基础法,,left_only
15702948,49%股权,闻泰通讯,闻天下、Wingtech Limited、CHL,,,,left_only
15697257,51%股权,国联安基金管理有限公司,国泰君安,1800000000.0,收益法,,left_only
15694554,100%股权,合肥新能源,洛玻集团、合肥高新投,342146400.0,收益法,,left_only
15694554,100%股权,桐城新能源,华光集团、蚌埠院、国际工程,247266100.0,收益法,,left_only
15694554,70.99%股权,宜兴新能源,凯盛集团、宜兴环保科技、协鑫集成,246744500.0,收益法,,left_only
15670543,100%股权,五矿资本,五矿股份,1783372.89,,,left_only
15670543,3.3965%股权,五矿证券,金牛投资、惠州国华,88343800.0,,,left_only
15670543,10.04%股权,五矿经易期货,经易控股、经易金业、久勋咨询,363875500.0,,,left_only
15670543,1.86%股权,五矿信托,西宁城投、青海华鼎,179936400.0,,,left_only
15663971,100%股权,广州安必平医药科技股份有限公司,蔡向挺、凯多投资、乾靖投资、厦门运资、上海国药、中大一号、达安科技、金石投资、创东方富锦、深圳唯实、山南格立、创东方富建、创东方汇金、上海圣众,1320000000.0,收益法,,left_only
15658783,81.74%股权,信息产业电子第十一设计研究院科技工程股份有限公司,无锡产业集团、无锡金投、赵振元、成都成达,2295259200.0,收益法,,left_only
15658706,100%股权,顺丰控股,明德控股、嘉强顺风、招广投资、元禾顺风、古玉秋创、顺达丰润、顺信丰合,43300000000.0,,,left_only
15658626,100%股权,顺丰控股,明德控股、嘉强顺风、招广投资、元禾顺风、古玉秋创、顺达丰润、顺信丰合,43300000000.0,收益法,,left_only
15658625,100%股权,顺丰控股,明德控股、嘉强顺风、招广投资、元禾顺风、古玉秋创、顺达丰润、顺信丰合,43300000000.0,,,left_only
15653981,100%股权,管道局工程公司,中石油集团,8079853600.0,资产基础法,,left_only
15653981,100%股权,工程建设公司,中石油集团,9896333200.0,资产基础法,,left_only
15653981,100%股权,寰球工程,中石油集团,3413150300.0,资产基础法,,left_only
15653981,100%股权,昆仑工程,中石油集团,480454900.0,资产基础法,,left_only
15653981,100%股权,工程设计公司,中石油集团,2250405600.0,资产基础法,,left_only
15653981,100%股权,东北炼化,中石油集团,896275500.0,资产基础法,,left_only
15653981,100%股权,中油工程,中石油集团,50000000.0,资产基础法,,left_only
15653981,除一宗透明质酸厂土地及其上房产和构筑物以及三宗输气厂土地及其上房产以外的全部资产和负债,天利高新,天利石化,17879929.46,资产基础法,,left_only
15650323,全部有效经营性资产及配套设施,阿拉尔新农化纤有限责任公司,,,成本法,,left_only
15649704,54.71%股权,南京港龙潭集装箱有限公司,南京港(集团)有限公司、上海国际港务(集团)股份有限公司,1262236400.0,,,left_only
15649469,97.15%股权,鹤壁同力发电有限责任公司,投资集团,1103560800.0,收益法,,left_only
15649469,12.00%股权,华能沁北发电有限责任公司,投资集团,656463600.0,收益法,,left_only
15649469,50.00%股权,鹤壁丰鹤发电有限责任公司,投资集团,762257100.0,收益法,,left_only
15646549,100%股权,大连集运,中远海控,,,,left_only
15646549,100%股权,天津集运,中远海控,,,,left_only
15646549,100%股权,青岛集运,中远海控,,,,left_only
15646549,100%股权,厦门集运,中远海控,,,,left_only
15646549,100%股权,深圳集运,中远海控,,,,left_only
15646549,100%股权,海南集运,中远海控,,,,left_only
15646549,10%股权,营口集运,中远海控,,,,left_only
15646549,10%股权,秦皇岛集运,中远海控,,,,left_only
15646549,10%股权,连云港集运,中远海控,,,,left_only
15646549,10%股权,龙口集运,中远海控,,,,left_only
15646549,45%股权,浙江集运,中远海控,,,,left_only
15646549,45%股权,江苏集运,中远海控,,,,left_only
15646549,10%股权,泉州集运,中远海控,,,,left_only
15646549,10%股权,福州集运,中远海控,,,,left_only
15646549,10%股权,汕头集运,中远海控,,,,left_only
15646549,10%股权,中山集运,中远海控,,,,left_only
15646549,10%股权,防城港集运,中远海控,,,,left_only
15646549,10%股权,湛江集运,中远海控,,,,left_only
15646549,10%股权,江门集运,中远海控,,,,left_only
15646549,10%股权,东莞集运,中远海控,,,,left_only
15646549,100%股权,大连信息,中远海控,,,,left_only
15646549,100%股权,洋浦冷藏,中远海控,,,,left_only
15646549,98.2%股权,浦海航运,中远海控,,,,left_only
15646549,50%股权,大连万捷,中远海控,,,,left_only
15646549,45%股权,锦州集铁,中远海控,,,,left_only
15646549,20.07%股权,鞍钢汽运,中远海控,,,,left_only
15646549,51%股权,鑫海航运,中远海集运,,,,left_only
15646549,9%股权,鑫海航运,中海东南亚,,,,left_only
15646549,100%股权,五洲航运,泛亚航运,,,,left_only
15646549,100%股权,五洲物流,泛亚航运,,,,left_only
15646549,100%股权,中集香港代理,中远集运香港,,,,left_only
15646549,91%股权,新加坡石油,中海东南亚,,,,left_only
15646549,100%股权,中海投资,中国海运、广州中远海运、上海中远海,3452066600.0,,,left_only
15646549,100%股权,中远海租赁,中国海运,1929937000.0,,,left_only
15646549,40%股权,中海财务,广州中远海运、中国海运,375682800.0,,,left_only
15646549,13.67%股份,渤海银行,中远集团,5448048000.0,,,left_only
15646549,100%股权,东方国际,中远海运金控,2969227500.0,,,left_only
15646549,100%股权,东方富利,,,,,left_only
15646549,100%股权,海宁保险,中远海运金,,,,left_only
15646549,100%股权,Long Honour,中远香港,,,,left_only
15646549,100%股权,佛罗伦,中远海港口,7784483300.0,,,left_only
15635349,24%股权,上海嘉事明伦医疗器材有限公司,张泽军,71424576.0,资产基础法,,left_only
15635349,24%股权,深圳嘉事康元医疗器械有限公司,郭振喜、杨波,84446400.0,资产基础法,,left_only
15635349,24%股权,嘉事嘉成医疗器械武汉有限公司,谢东华、李燕,26736000.0,资产基础法,,left_only
15635349,29%股权,北京嘉事爱格医疗器械有限公司,王兴国、苏海军、张捷,40977000.0,资产基础法,,left_only
15635349,24%股权,四川嘉事馨顺和医疗器械有限公司,张斌、沈珍,74688000.0,资产基础法,,left_only
15635349,24%股权,浙江嘉事杰博医疗器械有限公司,吕文杰、姚海,65716800.0,资产基础法,,left_only
15635349,24%股权,上海嘉事嘉意医疗器材有限公司,宣洁伟、李繁华,108333600.0,资产基础法,,left_only
15635349,29%股权,安徽嘉事谊诚医疗器械贸易有限公司,王兴国、张顺、李斌,158804000.0,资产基础法,,left_only
15635349,24%股权,北京嘉事盛世医疗器械有限公司,解晓娟、王兴国、解长春,139870315.2,资产基础法,,left_only
15635349,24%股权,北京金康瑞源商贸有限公司,周焰、丁楠,22080000.0,资产基础法,,left_only
15635349,24%股权,北京嘉事唯众医疗器械有限公司,张川,30384000.0,资产基础法,,left_only
15635349,24%股权,嘉事国润(上海)医疗科技有限公司,张泽军,24672000.0,资产基础法,,left_only
15632423,100%股权,爱奥乐医疗器械(深圳)有限公司,爱马仕、珠海天富、金辉、肖士诚,300000000.0,收益法,,left_only
15632423,100%股权,达孜赛勒康医疗投资管理有限公司,西藏大同,1271677000.0,收益法,,left_only
15632423,100%股权,广东宜华房地产开发有限公司,宜华企业(集团)有限公司,1843681400.0,,,left_only
15632423,100%股权,梅州市宜华房地产开发有限公司,宜华企业(集团)有限公司,116200800.0,,,left_only
15632423,100%股权,汕头市荣信投资有限公司,宜华企业(集团)有限公司,94198900.0,,,left_only
15632025,100%股权,汕头市黑牛实业有限公司,深圳市黑牛资本管理有限公司,9163800.0,,,left_only
15632025,100%股权,揭阳市黑牛食品工业有限公司,深圳市黑牛资本管理有限公司,98266900.0,,,left_only
15632025,100%股权,安徽省黑牛食品工业有限公司,深圳市黑牛资本管理有限公司,308375700.0,,,left_only
15632025,100%股权,黑牛食品(广州)有限公司,深圳市黑牛资本管理有限公司,19481900.0,,,left_only
15632025,100%股权,黑牛食品营销有限公司,深圳市黑牛资本管理有限公司,77894000.0,,,left_only
15620174,90%股权,湖南龙华农牧发展有限公司,龙秋华、龙伟华,458600000.0,收益法,,left_only
15610785,"10,000万股股份",中融人寿,清华控股有限公司,2000000000.0,收益法,,left_only
15610773,100%股权,浙江华飞电子基材有限公司,李文、敖洲、徐子英、郑杰英、华飞投资,,,,left_only
